Tavy,16,male,Kerry Blue Terrier,16/12/2019,01/12/2019,yellow-brown,wirehaired,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT40 2BQ
Eulalie,6,female,Bernese Mountain Dog,30/11/2019,27/11/2019,yellow,short,medium,no,yes,yes,yes,yes,yes,yes,flat,BT29 2NW
Schulze,1,female,Shar Pei,28/11/2019,28/11/2019,black and brown,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT28 6US
Neville,15,male,Borzoi,28/11/2019,28/11/2019,brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT79 2JV
Niobe,13,male,Harrier Hound,24/11/2019,25/11/2019,yellow-brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT24 6VV
Murtha,13,male,Belgian Shepherd Dog Tervueren,12/12/2019,27/11/2019,yellow-brown,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT44 4QJ
Borreri,17,male,English Setter,11/12/2019,26/11/2019,yellow-brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT15 3JZ
Waneta,17,female,Cairn Terrier,15/11/2019,28/11/2019,apricot,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT32 1HO
Buchalter,9,female,Pharaoh Hound,18/11/2019,25/11/2019,yellow,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT16 6VM
Darees,17,male,Saluki,18/11/2019,25/11/2019,black and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT36 1PD
Sheridan,13,female,Lakeland Terrier,25/11/2019,28/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT67 6OS
Shields,16,male,Borzoi,20/09/2019,25/11/2019,wild boar,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT20 6TW
Convery,13,male,Portuguese Water Dog,18/11/2019,25/11/2019,yellow,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT65 1RD
Ventura,6,male,Poodle Toy,30/11/2019,27/11/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT18 2TG
Kovacev,15,male,Fox Terrier Smooth Coat,08/12/2019,28/11/2019,black,long,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT20 4BG
Glogau,14,female,Bouvier des Flandres,17/11/2019,25/11/2019,spotty,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT32 2ME
Fonda,6,male,Chesapeake Bay Retriever,08/12/2019,28/11/2019,black,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT49 6NA
Jasik,14,male,Schipperke,26/11/2019,27/11/2019,black and white,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT6 4FG
Jaquelin,3,male,Bouvier des Flandres,26/11/2019,28/11/2019,black and white,short,small,no,yes,yes,yes,no,yes,yes,both flat and garden,BT72 2NH
Jones,4,female,Dalmatian,26/11/2019,27/11/2019,black and brown,medium,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT1 4TN
Fransen,17,female,Chesapeake Bay Retriever,04/11/2019,29/11/2019,black and tan,wirehaired,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT60 1RV
Moreland,4,male,Great Dane,09/11/2019,17/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT57 4AT
Quincy,15,male,Briard,09/11/2019,17/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT15 4PR
Stepha,7,female,Kerry Blue Terrier,10/05/2019,21/11/2019,black and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT10 8II
Ronnica,5,female,Labrador Retriever,06/12/2019,21/11/2019,gray and white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT42 3WH
Horton,8,male,Sloughi,22/11/2019,22/11/2019,yellow-brown,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT55 5UQ
Ricardama,12,male,Dachshund (Smooth Haired),20/11/2019,19/11/2019,black and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT8 3YK
Waldron,17,male,German Spitz Klein,10/12/2019,25/11/2019,black and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT59 3RP
Guerin,12,male,Dachshund (Miniature Smooth Haired),21/11/2019,21/11/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT29 5XY
Berkley,16,male,Dalmatian,11/11/2019,17/11/2019,white,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT75 7FX
Outhe,3,female,Cavalier King Charles Spaniel,10/08/2019,21/11/2019,yellow-brown,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT73 4LD
Corliss,14,male,Welsh Terrier,12/11/2019,17/11/2019,apricot,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT45 5TO
Koval,8,male,Dachshund (Smooth Haired),12/06/2019,24/11/2019,apricot,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT32 6GZ
Primrosa,1,female,Lowchen,18/11/2019,19/11/2019,apricot,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT36 6VF
Agata,17,male,Bullmastiff,15/05/2019,21/11/2019,tricolor,short,medium,yes,yes,yes,yes,yes,yes,no,both flat and garden,BT47 4JO
Brit,16,male,Foxhound,14/02/2019,21/11/2019,gray and black,medium,small,yes,yes,yes,yes,yes,yes,no,both flat and garden,BT67 8UF
Hilda,14,female,Australian Silky Terrier,31/10/2019,17/11/2019,black and white,short,small,yes,yes,yes,yes,yes,yes,no,both flat and garden,BT45 9DD
Mandler,9,female,Border Collie,01/10/2019,24/11/2019,golden,short,medium,yes,yes,yes,yes,yes,yes,no,garden,BT74 2SH
Flanders,4,male,Schnauzer Giant,25/11/2019,24/11/2019,striped,short,medium,yes,yes,yes,no,yes,yes,no,flat,BT14 5RE
Ware,14,female,Harrier Hound,18/11/2019,19/11/2019,black and white,wirehaired,small,no,yes,yes,no,yes,yes,no,both flat and garden,BT77 1VG
Noam,7,male,Scottish Terrier,09/12/2019,25/11/2019,striped,short,medium,no,yes,yes,yes,no,yes,no,garden,BT17 2CJ
Brianne,3,female,French Bulldog,29/11/2019,14/11/2019,saddle back,medium,large,no,yes,yes,yes,no,yes,no,both flat and garden,BT43 4GS
Riesman,4,female,Poodle Toy,28/11/2019,14/11/2019,sable,medium,large,yes,yes,yes,yes,no,yes,no,flat,BT34 7LV
Konstanze,1,male,Collie (Smooth),29/11/2019,14/11/2019,black and white,short,large,yes,yes,yes,yes,no,yes,no,garden,BT5 7YE
Torbert,11,male,Papillon,10/11/2019,14/11/2019,yellow-brown,short,small,no,yes,yes,yes,no,yes,no,garden,BT49 8QX
Garwin,7,male,Bernese Mountain Dog,12/11/2019,12/11/2019,tricolor,short,medium,no,yes,yes,yes,no,yes,no,both flat and garden,BT59 6DZ
Ashraf,8,female,Deerhound,17/04/2013,13/11/2019,black,wirehaired,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT41 5UA
Mezoff,7,male,Newfoundland,06/11/2019,14/11/2019,spotty,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT79 4YX
Medrek,11,male,Lhaso Apso,10/11/2019,14/11/2019,yellow-brown,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT79 3ZI
Yousuf,11,male,Bull Terrier Miniature,25/08/2012,13/11/2019,black,wirehaired,large,yes,yes,yes,yes,yes,yes,yes,garden,BT33 5AL
Dukey,4,female,Fox Terrier Smooth Coat,01/12/2019,16/11/2019,yellow-brown,short,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT3 6FK
Deach,7,female,Pomeranian,01/12/2019,16/11/2019,striped,short,large,no,yes,yes,yes,yes,yes,yes,flat,BT63 5HF
Putnam,9,male,Dobermann,10/11/2019,14/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT57 4VH
Sheldon,10,male,Norfolk Terrier,17/04/2013,13/11/2019,yellow-brown,wirehaired,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT38 9OU
Dionysus,4,female,Tibetan Terrier,14/12/2019,13/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT17 4CT
Birk,3,male,Curly-Coated Retriever,01/03/2009,13/11/2019,white,long,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT80 9BE
Shipman,9,female,Clumber Spaniel,11/11/2019,12/11/2019,black,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT64 9AI
Terence,1,male,Australian Shepherd Dog,16/03/2018,14/11/2019,apricot,short,large,yes,yes,yes,yes,no,yes,yes,both flat and garden,BT75 9XR
Dav,16,male,Clumber Spaniel,12/11/2019,12/11/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT59 5CM
Bowne,15,female,Parson Jack Russell Terrier,20/09/2019,14/11/2019,black,short,medium,yes,no,yes,yes,yes,yes,yes,both flat and garden,BT10 7QL
Liv,6,male,Irish Terrier,10/11/2019,14/11/2019,yellow-brown,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT14 3DZ
Marpet,17,male,Cairn Terrier,21/11/2019,06/11/2019,brown and white,short,medium,no,yes,yes,yes,yes,yes,yes,garden,BT14 5DS
Berl,9,male,Fox Terrier Smooth Coat,07/10/2019,02/11/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT7 1OG
Elmo,12,female,Dalmatian,21/11/2019,06/11/2019,saddle back,medium,medium,no,yes,yes,yes,yes,yes,yes,garden,BT35 9RX
Boys,1,male,Schnauzer Miniature,07/10/2019,02/11/2019,brown,short,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT1 9EV
Falkner,8,female,Irish Setter,07/10/2019,02/11/2019,brown,short,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT74 6MQ
Zorine,13,male,Australian Shepherd Dog,01/11/2019,02/11/2019,black and tan,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT11 4TL
Marjorie,1,female,French Bulldog,31/10/2019,06/11/2019,white,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT18 6MC
Antebi,7,male,Foxhound,11/11/2019,11/11/2019,black,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT30 7UO
Egide,1,male,Weimaraner,02/11/2019,10/11/2019,spotty,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT48 6CU
Braswell,11,female,Hungarian Wire-Haired Vizsla,14/12/2019,05/11/2019,black and brown,short,small,yes,yes,yes,yes,yes,yes,yes,garden,BT62 1PO
Chessa,12,male,Alaskan Malamute,31/10/2019,06/11/2019,black and brown,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT48 5OW
Kinch,18,female,Australian Silky Terrier,07/10/2019,02/11/2019,brown,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT23 9MF
Verdi,11,male,Tibetan Spaniel,07/10/2019,06/11/2019,brown,short,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT78 2IM
Keyser,4,male,Deerhound,11/11/2019,11/11/2019,brown and white,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT58 9ND
Tippets,8,female,St Bernard,06/10/2019,06/11/2019,brown,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT31 3LF
Amalia,14,female,Australian Silky Terrier,31/10/2019,06/11/2019,apricot,medium,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT76 6HH
Katrinka,3,female,Norwich Terrier,02/11/2019,02/11/2019,brown and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT41 9HJ
Delwin,13,male,Japanese Spitz,06/11/2019,05/11/2019,spotty,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT15 9DU
Wolsky,7,male,Briard,31/10/2019,06/11/2019,apricot,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT31 3RN
Kiel,8,male,Bedlington Terrier,24/10/2019,06/11/2019,black and brown,medium,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT9 5UI
Haeckel,13,female,Greyhound,01/01/2020,20/10/2019,white,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT39 5PA
Asquith,16,male,Border Terrier,01/11/2019,21/10/2019,white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT51 1BG
Cele,2,female,Bulldog,03/09/2019,26/10/2019,yellow,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT80 8XM
Bendicta,12,female,Irish Wolfhound,16/11/2019,20/10/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT47 5LE
Latrena,4,male,Dachshund (Miniature Wire Haired),19/09/2019,21/10/2019,brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT53 8JF
Julie,14,female,Greyhound,01/10/2019,22/10/2019,striped,short,small,no,yes,yes,yes,yes,yes,no,both flat and garden,BT12 4ES
Tuchman,2,male,Dogue de Bordeaux,30/10/2019,29/10/2019,white,short,medium,yes,yes,yes,yes,yes,yes,no,flat,BT28 8OF
Matthews,13,female,German Shepherd Dog,25/10/2019,27/10/2019,black,short,small,yes,yes,yes,yes,yes,yes,no,both flat and garden,BT81 5WD
Iny,4,male,Australian Silky Terrier,15/11/2019,23/10/2019,black and white,short,medium,yes,yes,yes,yes,yes,yes,no,flat,BT46 1SL
Mohl,7,male,Basset Fauve de Bretagne,07/10/2019,27/10/2019,black,short,medium,yes,yes,yes,no,no,no,no,both flat and garden,BT63 2BZ
Malinda,11,male,Dalmatian,25/10/2019,26/10/2019,gray and black,wirehaired,large,no,yes,yes,no,no,no,no,both flat and garden,BT9 1MS
Faus,1,male,Irish Wolfhound,10/09/2019,28/10/2019,black and white,medium,medium,no,yes,yes,no,no,no,no,both flat and garden,BT32 9NP
Shayna,12,male,Border Terrier,20/10/2019,27/10/2019,apricot,short,small,no,yes,yes,yes,yes,yes,no,both flat and garden,BT2 3AK
Kally,2,female,Dachshund (Miniature Wire Haired),15/04/2019,23/10/2019,black,long,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT30 2TR
Tia,9,male,Poodle Miniature,22/10/2019,27/10/2019,black and brown,medium,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT74 7HP
Aksel,15,male,Pomeranian,30/07/2019,23/10/2019,yellow-brown,long,medium,yes,yes,yes,no,yes,yes,yes,both flat and garden,BT59 2AX
Montano,13,female,Tibetan Terrier,01/09/2019,23/10/2019,black and white,short,small,yes,yes,yes,yes,yes,yes,yes,flat,BT47 3PS
Jenilee,2,female,Belgian Shepherd Dog Groenendael,16/11/2019,20/10/2019,black and brown,wirehaired,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT60 2ZV
Winchester,16,male,Yorkshire Terrier,22/10/2019,30/10/2019,gray and black,wirehaired,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT67 3PI
Alane,14,male,Tibetan Spaniel,25/10/2019,27/10/2019,black,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT47 8EH
Ahlgren,13,male,Irish Water Spaniel,18/10/2019,18/10/2019,black and white,long,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT79 5TE
Meingolda,5,female,Dobermann,01/05/2019,11/10/2019,yellow,short,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT40 3AL
Treulich,6,male,Yorkshire Terrier,02/08/2019,19/10/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT2 8GE
Gusty,2,male,Clumber Spaniel,11/04/2019,11/10/2019,yellow,short,large,yes,yes,yes,yes,yes,yes,yes,garden,BT32 9LB
Stock,8,male,Bracco Italiano,01/08/2019,19/10/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT56 9ZM
Ernald,11,female,Irish Water Spaniel,20/09/2019,18/10/2019,brown and white,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT24 9GH
Vanderhoek,1,female,Dandie Dinmont Terrier,08/10/2019,11/10/2019,golden,medium,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT64 9GI
Gilba,18,female,Boxer,15/10/2019,15/10/2019,yellow-brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT60 1OG
Mulloy,14,female,Fox Terrier Wire Coat,21/09/2019,18/10/2019,apricot,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT68 1QE
Tailor,5,male,Pug,31/05/2019,11/10/2019,yellow,short,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT63 7XA
Taro,14,female,Bloodhound,27/09/2019,18/10/2019,black and white,long,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT70 8JE
Jobie,13,male,Lakeland Terrier,16/10/2019,16/10/2019,gray,wirehaired,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT32 4DP
Selda,7,female,Brittany,01/06/2019,11/10/2019,yellow,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT75 3IS
Weinberg,6,male,Afghan Hound,03/11/2019,19/10/2019,striped,short,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT19 8FT
Dunn,7,male,Kerry Blue Terrier,15/10/2019,16/10/2019,brown,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT68 8CX
Low,10,male,Anatolian Shepherd Dog,26/10/2019,12/10/2019,brown and white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT57 1WO
Nagey,1,male,Bracco Italiano,21/09/2019,18/10/2019,black and brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT50 2IV
Sandra,17,male,Tenterfield Terrier,06/05/2019,14/10/2019,black and white,medium,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT75 5XO
Hull,13,female,Poodle Miniature,17/10/2019,18/10/2019,brown and white,medium,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT62 6AN
Nodababus,16,male,Australian Terrier,27/10/2019,12/10/2019,black and white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT9 7EQ
Fugazy,9,female,German Shepherd Dog,01/01/2019,11/10/2019,yellow,short,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT22 7UU
Wooster,4,male,Dogue de Bordeaux,27/09/2019,06/10/2019,tricolor,short,medium,yes,yes,yes,yes,yes,yes,yes,garden,BT48 9CX
Stefanie,16,male,Maltese,21/10/2019,07/10/2019,yellow-brown,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT36 1RC
Fredie,15,male,Keeshond,13/04/2019,11/10/2019,golden,medium,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT62 5BC
